epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.8091,1.5061,4.56835,1.68442,0.60743,1,0.63786,0.46714,0.92629,3.20346,1.21257,4e-05,4e-05,4e-05
2,47.7349,1.22173,2.07572,1.44626,0.99267,1,0.995,0.7815,0.72981,4.41991,1.16218,9.604e-05,9.604e-05,9.604e-05
3,71.708,0.95428,1.93735,1.25518,0.99285,1,0.995,0.74112,0.8945,5.79065,1.21888,0.000147328,0.000147328,0.000147328
4,95.5297,0.75744,2.0677,1.12445,0.88212,1,0.995,0.76509,0.67417,3.49919,1.03329,0.000193864,0.000193864,0.000193864
5,119.38,0.99303,1.55152,1.23503,0.9792,1,0.995,0.8228,0.67835,1.63556,1.02179,0.000235648,0.000235648,0.000235648
6,143,0.84275,1.20467,1.09383,0.90273,1,0.995,0.79687,0.67961,3.36334,1.01768,0.00027268,0.00027268,0.00027268
7,167.387,0.85068,1.15305,1.16247,0.9042,1,0.995,0.79454,0.71714,2.64876,1.11963,0.00030496,0.00030496,0.00030496
8,192.082,0.93457,1.23092,1.18177,0.98641,1,0.995,0.81585,0.69888,1.81553,1.07345,0.000332488,0.000332488,0.000332488
9,217.202,0.88256,1.17586,1.20223,0.99476,1,0.995,0.79391,0.74189,2.27092,1.0829,0.000355264,0.000355264,0.000355264
10,242.017,0.85023,1.07377,1.1515,0.98947,1,0.995,0.81174,0.71155,2.88965,1.05512,0.000373288,0.000373288,0.000373288
11,265.95,0.86368,0.95158,1.18683,0.94664,1,0.995,0.80837,0.73036,2.22161,1.06988,0.00038656,0.00038656,0.00038656
12,291.386,1.00942,1.12211,1.27966,0.84647,1,0.995,0.81683,0.73532,2.43794,1.07922,0.00039508,0.00039508,0.00039508
13,316.326,0.77292,0.97854,1.10496,0.85919,1,0.995,0.8226,0.6821,1.9894,1.039,0.000398848,0.000398848,0.000398848
14,342.335,0.83834,0.90458,1.07603,0.92342,1,0.995,0.82545,0.68235,1.53207,1.02901,0.000397864,0.000397864,0.000397864
15,367.37,1.07588,1.11551,1.16824,0.85429,1,0.995,0.82542,0.68392,2.22587,1.08167,0.000392128,0.000392128,0.000392128
16,391.496,0.70659,1.46495,0.99497,0.97947,1,0.995,0.83609,0.70404,1.77774,1.09382,0.00038164,0.00038164,0.00038164
17,415.161,0.74559,0.91548,1.04666,0.98094,1,0.995,0.8073,0.87122,1.2926,1.19162,0.0003664,0.0003664,0.0003664
18,439.07,0.69386,1.14963,1.03916,0.98718,1,0.995,0.77196,0.76557,1.19282,1.06846,0.000346408,0.000346408,0.000346408
19,463.466,0.71657,0.93905,1.10956,0.99213,1,0.995,0.82647,0.7247,0.98312,1.04715,0.000321664,0.000321664,0.000321664
20,487.897,0.63997,0.82309,1.03039,0.99218,1,0.995,0.85049,0.68596,0.91096,1.04535,0.000292168,0.000292168,0.000292168
21,512.524,0.57881,0.69196,0.96442,0.98755,1,0.995,0.87466,0.61977,0.89477,1.02118,0.00025792,0.00025792,0.00025792
22,536.604,0.5256,0.67939,0.93126,0.98987,1,0.995,0.87173,0.59737,0.79613,1.01363,0.00021892,0.00021892,0.00021892
23,560.074,0.55051,0.62943,1.00055,0.99223,1,0.995,0.88957,0.58162,0.68537,1.0038,0.000175168,0.000175168,0.000175168
24,583.786,0.54476,0.60604,0.88058,0.99319,1,0.995,0.87966,0.59225,0.6488,1.00121,0.000126664,0.000126664,0.000126664
25,607.152,0.53227,0.57941,1.01782,0.99365,1,0.995,0.88109,0.58935,0.61966,1.00135,7.3408e-05,7.3408e-05,7.3408e-05
